segundo;landmark_10_x;landmark_10_y;landmark_10_z;landmark_11_x;landmark_11_y;landmark_11_z;landmark_12_x;landmark_12_y;landmark_12_z;landmark_13_x;landmark_13_y;landmark_13_z;landmark_14_x;landmark_14_y;landmark_14_z;landmark_23_x;landmark_23_y;landmark_23_z;landmark_24_x;landmark_24_y;landmark_24_z;landmark_25_x;landmark_25_y;landmark_25_z;landmark_26_x;landmark_26_y;landmark_26_z;cara_prom_x;cara_prom_y;cara_prom_z;mano_izquierda_prom_x;mano_izquierda_prom_y;mano_izquierda_prom_z;mano_derecha_prom_x;mano_derecha_prom_y;mano_derecha_prom_z;pie_izquierdo_prom_x;pie_izquierdo_prom_y;pie_izquierdo_prom_z;pie_derecho_prom_x;pie_derecho_prom_y;pie_derecho_prom_z;Etiqueta 
0.03;0.4891884922981262;0.5528978109359741;-0.264588862657547;0.4477338194847107;0.6418298482894897;-0.10475515574216843;0.44955918192863464;0.4963991045951843;-0.10380325466394424;0.38430526852607727;0.6677968502044678;-0.04531576484441757;0.3809424042701721;0.4705694615840912;-0.05255398154258728;0.3292102813720703;0.6172515153884888;0.0009798957034945488;0.3279983103275299;0.5324217081069946;-0.0010819589952006936;0.2301156222820282;0.6227082014083862;-0.008238689042627811;0.22746682167053223;0.5397973656654358;-0.004562097135931253;0.5023777604103088;0.5663273990154266;-0.266296349465847;0.3117159679532051;0.6641846895217896;-0.15914497151970863;0.31223002076148987;0.4901992157101631;-0.15671855583786964;0.13359019656976065;0.6290463209152222;0.13856318593025208;0.1286164124806722;0.5534643530845642;0.12306823829809825;vertical
0.07;0.4897731840610504;0.5526069402694702;-0.2648133635520935;0.4477344751358032;0.6425431966781616;-0.10489369183778763;0.4495827555656433;0.4963127672672272;-0.10755231231451035;0.3838764429092407;0.6679979562759399;-0.046882130205631256;0.38094931840896606;0.4704208970069885;-0.06202738359570503;0.32900360226631165;0.6171326041221619;0.0013770723016932607;0.3280966281890869;0.5323776006698608;-0.0014852237654849887;0.2292400747537613;0.6218847632408142;-0.010468943044543266;0.22748354077339172;0.5398104190826416;-0.00944356806576252;0.5027736157178879;0.566002607345581;-0.26654002964496615;0.3111879304051399;0.6637701243162155;-0.15948517993092537;0.3121987581253052;0.4899810403585434;-0.16861141473054886;0.1328445871671041;0.6281375487645467;0.13038131222128868;0.12863021343946457;0.5538783470789591;0.1133832720418771;vertical
0.1;0.49005869030952454;0.5522832870483398;-0.25713086128234863;0.4476763606071472;0.6430648565292358;-0.10145071148872375;0.4496150016784668;0.496299147605896;-0.10404001176357269;0.3830403983592987;0.6679359674453735;-0.04559718444943428;0.38102027773857117;0.4704536199569702;-0.061459194868803024;0.32872283458709717;0.6169899106025696;0.0013768193311989307;0.3280991315841675;0.5323779582977295;-0.001484869746491313;0.2290782928466797;0.6208674311637878;-0.010890896432101727;0.22749187052249908;0.5398223996162415;-0.010902805253863335;0.5029850035905838;0.5658056497573852;-0.2588646113872528;0.31073348224163055;0.663367286324501;-0.15580452978610992;0.31209711730480194;0.4897051453590393;-0.16683590784668922;0.132379412651062;0.6277430653572083;0.11684141183892886;0.12859338770310083;0.5539127190907797;0.10139359782139461;vertical
0.13;0.4902353882789612;0.5520907640457153;-0.25810426473617554;0.4475609362125397;0.6432679295539856;-0.10167574137449265;0.449616402387619;0.49628859758377075;-0.1048084944486618;0.3823910355567932;0.6675823330879211;-0.045621830970048904;0.38099902868270874;0.4705040156841278;-0.06106342002749443;0.3286271095275879;0.6169754862785339;0.0014921537367627025;0.3280963897705078;0.5324302315711975;-0.0016006638761609793;0.2290448546409607;0.6206662058830261;-0.00915493257343769;0.22756288945674896;0.5398747324943542;-0.010594131425023079;0.5031472831964493;0.5656925559043884;-0.25978041291236875;0.3104516714811325;0.6629600673913956;-0.15407659858465195;0.31176328659057617;0.4896663874387741;-0.16543257236480713;0.13206743697325388;0.6276750961939493;0.11538868149121602;0.12853020429611206;0.5539253155390421;0.09973338743050893;vertical
0.17;0.49035608768463135;0.5520216822624207;-0.26894018054008484;0.4475794732570648;0.6441062092781067;-0.11379390209913254;0.4496268928050995;0.4962896406650543;-0.11421746015548706;0.3821580708026886;0.6675888299942017;-0.058106426149606705;0.3809291422367096;0.4708298444747925;-0.06973383575677872;0.32870692014694214;0.6172984838485718;0.0012204269878566265;0.328095018863678;0.5329493880271912;-0.0013269552728161216;0.22909606993198395;0.6205851435661316;-0.00753907160833478;0.22759366035461426;0.5398963093757629;-0.009251296520233154;0.503257691860199;0.5656538665294647;-0.27132660895586014;0.3104139491915703;0.6620929539203644;-0.163081556558609;0.3111262544989586;0.4897049516439438;-0.17392409220337868;0.13179596761862436;0.6276851296424866;0.11543499926726024;0.12849814196427664;0.5539925297101339;0.10224038921296597;vertical
0.2;0.49044865369796753;0.5520257949829102;-0.2705349028110504;0.44759559631347656;0.6453325152397156;-0.1149519607424736;0.44968417286872864;0.49639520049095154;-0.11536495387554169;0.38198286294937134;0.667644739151001;-0.059025198221206665;0.38091039657592773;0.4710254669189453;-0.07059714943170547;0.32870277762413025;0.6177961230278015;0.001195942866615951;0.32808974385261536;0.5334503650665283;-0.0013013026909902692;0.22909988462924957;0.6205917596817017;-0.006480012089014053;0.2275979220867157;0.5399195551872253;-0.008725333027541637;0.5033565640449524;0.565671581029892;-0.27304957062005997;0.3103574812412262;0.6614166647195816;-0.16459769383072853;0.31080561876296997;0.48972121626138687;-0.1752777099609375;0.13165666908025742;0.6276923815409342;0.11733092491825421;0.12850502133369446;0.5539584557215372;0.10390590690076351;vertical
0.23;0.49047404527664185;0.5521097779273987;-0.2723730504512787;0.4475378096103668;0.6456771492958069;-0.11621566861867905;0.44972357153892517;0.4965333938598633;-0.11708411574363708;0.3818402886390686;0.6676464676856995;-0.05830501765012741;0.3809126317501068;0.4715118408203125;-0.07063625752925873;0.32849419116973877;0.6182588338851929;0.0012145686196163297;0.32805371284484863;0.5340935587882996;-0.0013200283283367753;0.22911469638347626;0.6205969452857971;-0.004174979403614998;0.22764089703559875;0.5399035215377808;-0.008421609178185463;0.5033829778432846;0.5657652318477631;-0.2748105838894844;0.3102117255330086;0.6613161116838455;-0.16413796693086624;0.3104613870382309;0.48971516638994217;-0.17338034510612488;0.13166675716638565;0.62766432762146;0.1189693162838618;0.12858529885609946;0.5539637605349222;0.10502865848441918;vertical
0.27;0.4904874265193939;0.552230715751648;-0.27826356887817383;0.4475345313549042;0.6457108855247498;-0.11984705179929733;0.4496801495552063;0.49663591384887695;-0.1202232614159584;0.38185298442840576;0.6677233576774597;-0.06045489013195038;0.38089579343795776;0.47209325432777405;-0.07136920094490051;0.3285881280899048;0.6184795498847961;0.0011583230225369334;0.32812654972076416;0.5345513820648193;-0.0012644750531762838;0.22921700775623322;0.6205641627311707;-0.003775165881961584;0.22766034305095673;0.5398868322372437;-0.008160559460520744;0.5033926635980606;0.5659217298030853;-0.28052208870649337;0.3101249486207962;0.6614064276218414;-0.16465697437524796;0.30999287962913513;0.4897032529115677;-0.1735938973724842;0.13164411733547846;0.627657155195872;0.11611167341470718;0.12857923408349356;0.5539490183194479;0.10195745651920636;vertical
0.3;0.4905266761779785;0.552404522895813;-0.29242023825645447;0.4475274682044983;0.6456954479217529;-0.13105328381061554;0.44965416193008423;0.49670156836509705;-0.13174927234649658;0.3818370997905731;0.6677364706993103;-0.06826110184192657;0.3808268904685974;0.4726206362247467;-0.07991501688957214;0.32956522703170776;0.6191073656082153;0.0010473632719367743;0.32851889729499817;0.5351794362068176;-0.0011569969356060028;0.23023846745491028;0.6204761862754822;-0.0015693935565650463;0.22769463062286377;0.5398951768875122;-0.007163363043218851;0.5033956944942475;0.5660769760608673;-0.29529044330120086;0.31010807305574417;0.6618545651435852;-0.1674141325056553;0.3094872012734413;0.48954685777425766;-0.1788308247923851;0.13153875867525736;0.6277253230412801;0.10451317081848781;0.12840305268764496;0.5539930661519369;0.09315539275606473;vertical
0.33;0.4905375838279724;0.5526046752929688;-0.287914514541626;0.4475293457508087;0.6457145810127258;-0.12710541486740112;0.44960424304008484;0.4967249929904938;-0.12893065810203552;0.381818026304245;0.667738676071167;-0.06550509482622147;0.3804073929786682;0.4730897843837738;-0.07887419313192368;0.32949355244636536;0.6191325783729553;0.0009712093160487711;0.3281797766685486;0.5351921319961548;-0.0010784199694171548;0.23034270107746124;0.6204690337181091;0.00043022591853514314;0.22767788171768188;0.5398955941200256;-0.005152422469109297;0.5033887147903442;0.566224193572998;-0.290413536131382;0.30995240062475204;0.6620933711528778;-0.16659948974847794;0.30887147039175034;0.48968037962913513;-0.1792984902858734;0.1315212845802307;0.6277528603871664;0.10799134833117326;0.12835589547952017;0.5541266401608785;0.09609610152741273;vertical
0.37;0.4905393421649933;0.5528627038002014;-0.2911277711391449;0.44753217697143555;0.6456200480461121;-0.12964805960655212;0.44945910573005676;0.49675044417381287;-0.13153745234012604;0.38182055950164795;0.6677091121673584;-0.06755173206329346;0.380227655172348;0.4734143614768982;-0.08083104342222214;0.3296120762825012;0.619178056716919;0.0008832010789774358;0.32821744680404663;0.5352441072463989;-0.000992040615528822;0.23048177361488342;0.6204565167427063;0.0007910960121080279;0.22783571481704712;0.5399496555328369;-0.0043124789372086525;0.503339883685112;0.5664429306983948;-0.29363186806440356;0.3098751902580261;0.6622569411993027;-0.1672881469130516;0.30844806134700775;0.4898080751299858;-0.17974890768527985;0.13147196422020593;0.6277485887209574;0.10852945037186146;0.12840831776460013;0.5541546742121378;0.09712596982717514;vertical
0.4;0.4905543029308319;0.5532315969467163;-0.2898496687412262;0.44758379459381104;0.6453421711921692;-0.128793865442276;0.4493728578090668;0.49679994583129883;-0.1293884664773941;0.38200390338897705;0.6675461530685425;-0.06644881516695023;0.38014885783195496;0.47420623898506165;-0.07847854495048523;0.33003997802734375;0.6191728115081787;0.00039688634569756687;0.32839831709861755;0.5353841781616211;-0.0005104860756546259;0.23057304322719574;0.620445191860199;0.00036435984657146037;0.22789695858955383;0.5399225950241089;-0.003756418591365218;0.5033039897680283;0.5667778968811035;-0.2924582615494728;0.30999086052179337;0.6623555719852448;-0.16693968698382378;0.30845382809638977;0.489840105175972;-0.17847281694412231;0.13145924359560013;0.6276808977127075;0.10809832500914733;0.12839554250240326;0.5541895429293314;0.0982189296434323;vertical
