segundo,landmark_10_x,landmark_10_y,landmark_10_z,landmark_11_x,landmark_11_y,landmark_11_z,landmark_12_x,landmark_12_y,landmark_12_z,landmark_13_x,landmark_13_y,landmark_13_z,landmark_14_x,landmark_14_y,landmark_14_z,landmark_23_x,landmark_23_y,landmark_23_z,landmark_24_x,landmark_24_y,landmark_24_z,landmark_25_x,landmark_25_y,landmark_25_z,landmark_26_x,landmark_26_y,landmark_26_z,cara_prom_x,cara_prom_y,cara_prom_z,mano_izquierda_prom_x,mano_izquierda_prom_y,mano_izquierda_prom_z,mano_derecha_prom_x,mano_derecha_prom_y,mano_derecha_prom_z,pie_izquierdo_prom_x,pie_izquierdo_prom_y,pie_izquierdo_prom_z,pie_derecho_prom_x,pie_derecho_prom_y,pie_derecho_prom_z,Etiqueta,Vista
0.03,0.4773944318294525,0.2515117228031158,-0.2127878963947296,0.5243463516235352,0.3367665112018585,-0.0743982717394828,0.4390982985496521,0.3299078345298767,-0.0875262320041656,0.5368719696998596,0.4575549662113189,-0.0219611376523971,0.4240857660770416,0.4536566436290741,-0.0636430829763412,0.510033369064331,0.5621974468231201,-0.0016988808056339,0.4618310630321502,0.5667190551757812,0.0016707931645214,0.5140986442565918,0.7190026044845581,0.0098607866093516,0.4648963510990143,0.7251670360565186,0.0322914905846118,0.4830688953399658,0.2251985892653465,-0.2123015254735946,0.5480264574289322,0.5871504694223404,-0.1185570526868105,0.4366149008274078,0.5828802138566971,-0.1565442681312561,0.5127684871355692,0.8895374139149984,0.1297895660003026,0.4655063052972157,0.8909464279810587,0.169780266781648,vertical,frontal
0.07,0.4773502051830292,0.2518516480922699,-0.2150307744741439,0.5243564248085022,0.3365452587604522,-0.0756472647190094,0.4393722712993622,0.3298887610435486,-0.0891151279211044,0.5376707911491394,0.458306223154068,-0.0220095477998256,0.4240448772907257,0.4525818824768066,-0.0651772171258926,0.5100334882736206,0.5620430707931519,0.0001494041207479,0.4617713391780853,0.5659291744232178,-0.0001915682514663,0.5133341550827026,0.7241683602333069,0.0096248323097825,0.4639305472373962,0.7252647280693054,0.0259055458009243,0.483005166053772,0.2255684480071068,-0.2151191860437393,0.5484602451324463,0.587517037987709,-0.1194248460233211,0.436065524816513,0.5825534015893936,-0.1607013791799545,0.5112471381823221,0.8922953406969706,0.1290673452119032,0.465516338745753,0.8895606795946757,0.1622872203588485,vertical,frontal
0.1,0.4773441255092621,0.2521246671676636,-0.2144769877195358,0.5243386030197144,0.3364458382129669,-0.0728475973010063,0.4395190775394439,0.3298699259757995,-0.0892285108566284,0.538045346736908,0.4590209126472473,-0.0174934659153223,0.4240428209304809,0.4517228305339813,-0.0656773597002029,0.5100323557853699,0.5614187717437744,0.0020093792118132,0.4617526233196258,0.5650312900543213,-0.0020550682675093,0.5129844546318054,0.7258001565933228,0.0096249561756849,0.4637426733970642,0.725317120552063,0.0202401839196681,0.4829933524131775,0.2258426666259765,-0.2145145758986473,0.5491251647472382,0.5875750929117203,-0.1169496830552816,0.4352459982037544,0.5822441577911377,-0.1615513451397419,0.5105754534403483,0.8933958411216736,0.1282226033508777,0.4654382367928822,0.8883244196573893,0.1531872103611628,vertical,frontal
0.13,0.4772333204746246,0.2522920072078705,-0.2200545519590377,0.5243288278579712,0.3364101648330688,-0.076347567141056,0.4395964741706848,0.3298705518245697,-0.0948124974966049,0.5386691689491272,0.4596166908740997,-0.0188642647117376,0.4240636229515075,0.4514240324497223,-0.0707716941833496,0.5100029110908508,0.5611933469772339,0.0030227899551391,0.461664080619812,0.5646480917930603,-0.0030717772897332,0.5125787258148193,0.7272454500198364,0.0096827372908592,0.4636978209018707,0.7253168821334839,0.0193158630281686,0.4829173624515533,0.2260309427976608,-0.2204730197787285,0.5508412569761276,0.5875872075557709,-0.1187542453408241,0.434972770512104,0.5825248807668686,-0.1668893918395042,0.5101880232493082,0.8944620887438456,0.1283664355675379,0.4654516875743866,0.8874349594116211,0.1543748006224632,vertical,frontal
0.17,0.4770222008228302,0.2526747286319732,-0.2339309155941009,0.5243179798126221,0.3363855183124542,-0.0865503177046775,0.4395971894264221,0.3302531242370605,-0.1067596897482872,0.5390549302101135,0.4596327841281891,-0.0251383744180202,0.4241341650485992,0.451934278011322,-0.080277107656002,0.5099464058876038,0.5606824159622192,0.003550267778337,0.461561918258667,0.5642948150634766,-0.0036056451499462,0.5122588872909546,0.727654218673706,0.0103475721552968,0.4637021124362945,0.7252580523490906,0.0182089507579803,0.4827529519796371,0.2262766718864441,-0.2346168741583824,0.552475318312645,0.587536171078682,-0.1211355850100517,0.4349898248910904,0.5834110826253891,-0.1740390919148922,0.5100366671880087,0.8949504892031351,0.128710214048624,0.4654729167620341,0.8868308266003927,0.1533758913477262,vertical,frontal
0.2,0.4769350588321686,0.2529601454734802,-0.2410859167575836,0.5243132710456848,0.3363833427429199,-0.0917137190699577,0.4395929872989654,0.330447107553482,-0.1130991950631141,0.5396168828010559,0.4596354067325592,-0.0291783418506383,0.4242548644542694,0.4524601101875305,-0.0860917419195175,0.5098772644996643,0.560597836971283,0.0039754076860845,0.4614834785461426,0.5641857385635376,-0.0040362128056585,0.5119187235832214,0.727483868598938,0.0109674399718642,0.4637085497379303,0.7252529859542847,0.0182069912552833,0.4826812893152237,0.2264401450753212,-0.241684190928936,0.5537987947463989,0.587821289896965,-0.1238291338086128,0.4349988251924515,0.5844240188598633,-0.1791957095265388,0.5098758737246195,0.8954994281133016,0.1284999611477057,0.4654309550921122,0.8867095708847046,0.1533360481262207,vertical,frontal
0.23,0.4768503308296203,0.2530202567577362,-0.2379492670297622,0.5243149399757385,0.3363812863826751,-0.0896874442696571,0.4395912885665893,0.3305415213108063,-0.1105877012014389,0.5399006605148315,0.4596514999866485,-0.0285057500004768,0.4246829152107239,0.4530740082263946,-0.0835916846990585,0.5098153352737427,0.5605242848396301,0.0041179773397743,0.4613444805145263,0.5641235709190369,-0.0041771973483264,0.5117398500442505,0.7273699045181274,0.0109997345134615,0.4637240767478943,0.7252599000930786,0.0185341574251651,0.4826161414384842,0.2264823451638221,-0.2383101046085357,0.5540474951267242,0.5877839624881744,-0.123663805425167,0.4350111708045006,0.5845663845539093,-0.1775394678115844,0.5098307728767395,0.8958036303520203,0.1282794202367464,0.4654149115085602,0.8865403532981873,0.1542739272117614,vertical,frontal
0.27,0.4767054915428161,0.2530386745929718,-0.2373963147401809,0.5243142247200012,0.3364001214504242,-0.0890224203467369,0.4395839273929596,0.3307197690010071,-0.1097832322120666,0.539891242980957,0.4600418508052826,-0.0281468369066715,0.425028383731842,0.454130470752716,-0.0825806185603141,0.5098038911819458,0.5605354905128479,0.0039936932735145,0.4612497389316559,0.5641480684280396,-0.0040509444661438,0.5116090774536133,0.7272493839263916,0.0102698784321546,0.4637083709239959,0.7252681255340576,0.0190531760454177,0.4825399935245514,0.2264969959855079,-0.2376257538795471,0.553866446018219,0.587677076458931,-0.1234438363462686,0.4351208955049515,0.5852966606616974,-0.1769272498786449,0.5097625454266866,0.8958051999409994,0.1296734871963659,0.4654155770937602,0.8863864143689474,0.1554250046610832,vertical,frontal
0.3,0.4766407608985901,0.2530535757541656,-0.2350196987390518,0.5243138074874878,0.3364039957523346,-0.0878909975290298,0.4395656585693359,0.3309022188186645,-0.1076932772994041,0.5398714542388916,0.4600943326950073,-0.0278007108718156,0.4253819286823272,0.4551399648189544,-0.0812343284487724,0.5097787380218506,0.5605875849723816,0.0038940755184739,0.4611181616783142,0.5641700625419617,-0.0039502689614892,0.5115504264831543,0.7271870970726013,0.0104892970994114,0.4636798501014709,0.7252097725868225,0.0193502642214298,0.4825020968914032,0.2265136808156967,-0.2352363646030426,0.5532936453819275,0.5872853100299835,-0.1232728753238916,0.4351979270577431,0.5857016742229462,-0.1753633581101894,0.5097236633300781,0.8957767883936564,0.1297405126194159,0.4653826455275218,0.8863030274709066,0.1563570176561673,vertical,frontal
0.33,0.4765896201133728,0.2530654072761535,-0.2312382012605667,0.5243198871612549,0.3364037275314331,-0.0861768871545791,0.4395453333854675,0.3309589922428131,-0.1048169881105423,0.539802610874176,0.4598792195320129,-0.0269235018640756,0.425510048866272,0.4555113911628723,-0.0772376358509063,0.5096938014030457,0.560588538646698,0.0036485022865235,0.4609216153621673,0.5641737580299377,-0.0036996472626924,0.5115445256233215,0.7271129488945007,0.0098033780232071,0.4635445177555084,0.7252556085586548,0.0197231452912092,0.4824630051851272,0.2265509694814682,-0.2317866712808609,0.5515352487564087,0.5872176736593246,-0.1222131978720426,0.4352013021707535,0.58583764731884,-0.1730700768530368,0.5096890926361084,0.8956517974535624,0.1294805444777012,0.4653774499893188,0.8864372571309408,0.1562163780132929,vertical,frontal
